Benchmarking with:Timeout 900 seconds 
Model path: ./data/models_nnet/ffnnTANH__PGDK_w_0.1_6_500.nnet 

Benchmarking with epsilon = 0.005: 

Total number of images verified as safe: 100
Safe images: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99]
Total number of images verified as unsafe: 0
Unsafe images: []
Total number of images timed-out: 0
Timed-out images: []
Total number of images with underflow: 0
Underflow images: []

Benchmarking with epsilon = 0.01: 

Final result of input 0: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.13 seconds
Final result of input 1: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.14 seconds
Final result of input 2: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.15 seconds
Final result of input 3: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.12 seconds
Final result of input 4: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.12 seconds
Final result of input 5: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.12 seconds
Final result of input 6: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.12 seconds
Final result of input 7: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.13 seconds
Final result of input 8: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.18 seconds
Final result of input 9: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.13 seconds
Final result of input 10: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.13 seconds
Final result of input 11: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.16 seconds
Final result of input 12: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.14 seconds
Final result of input 13: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.21 seconds
