Benchmarking with:Timeout 900 seconds 
Model path: ./data/marabou/mnist10x10.nnet 

Benchmarking with epsilon = 1: 

Final result of input 61: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 62: Status.Safe, branches explored: 193, max depth: 12, time spent: 2.35 seconds
Final result of input 63: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 64: Status.Safe, branches explored: 13, max depth: 4, time spent: 0.26 seconds
Final result of input 65: Status.Safe, branches explored: 3, max depth: 1, time spent: 0.13 seconds
Final result of input 66: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 67: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 68: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 69: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 70: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 71: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 72: Status.Safe, branches explored: 71, max depth: 12, time spent: 0.89 seconds
Final result of input 73: Status.Safe, branches explored: 3, max depth: 1, time spent: 0.15 seconds
Final result of input 74: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 75: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 76: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 77: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 78: Status.Safe, branches explored: 2993, max depth: 19, time spent: 13.09 seconds
Final result of input 79: Status.Safe, branches explored: 5, max depth: 2, time spent: 0.17 seconds
Final result of input 80: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.06 seconds
Final result of input 81: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 82: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 83: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 84: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 85: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 86: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 87: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 88: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 89: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 90: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 91: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 92: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 93: Status.Safe, branches explored: 10369, max depth: 30, time spent: 42.74 seconds
Final result of input 94: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 95: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 96: Status.Safe, branches explored: 5, max depth: 2, time spent: 0.14 seconds
Final result of input 97: Status.Safe, branches explored: 15, max depth: 6, time spent: 0.21 seconds
Final result of input 98: Status.Safe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 99: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds

Time spent in solver: 4026.135397672653
Total number of images verified as safe: 72
Safe images: [0, 1, 4, 5, 6, 7, 9, 10, 11, 14, 15, 16, 17, 19, 20, 22, 23, 24, 26, 27, 29, 30, 32, 34, 35, 36, 37, 38, 39, 41, 43, 45, 46, 50, 51, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 67, 69, 70, 71, 72, 73, 75, 76, 77, 78, 79, 83, 84, 86, 88, 90, 91, 92, 93, 94, 95, 96, 97, 98]
Total number of images verified as unsafe: 25
Unsafe images: [2, 3, 12, 13, 18, 21, 28, 31, 33, 40, 44, 47, 48, 49, 52, 66, 68, 74, 80, 81, 82, 85, 87, 89, 99]
Total number of images timed-out: 3
Timed-out images: [8, 25, 42]
Total number of images with underflow: 0
Underflow images: []

Benchmarking with epsilon = 5: 

Final result of input 0: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 1: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 2: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 3: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 4: Status.Safe, branches explored: 24989, max depth: 29, time spent: 108.52 seconds
Final result of input 5: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 6: Status.Undecided, branches explored: 75527, max depth: 43, time spent: 900.11 seconds
Final result of input 7: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.03 seconds
Final result of input 8: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.02 seconds
Final result of input 9: Status.Undecided, branches explored: 70785, max depth: 49, time spent: 900.09 seconds
Final result of input 10: Status.Unsafe, branches explored: 1, max depth: 0, time spent: 0.04 seconds
